Category,Phrase
Place,Amcient Towering Skyscrapers
Fictional Character,Amelia Bedelia
Thing,Amendments To The Constitution
Proper Name,America Eagle Outfitters
Proper Name,America Ferrera
Slogan,America Runs On Dunkin'
Song Title,America The Beautiful
Before and After,America The Beautiful Model
TV Show Title,America The Wild
Event,America' Cup
TV Show Title,America's Cutest Pet
Phrase,America's Favorite Pastime
Before and After,America's Final Season Premiere
TV Show Title,America's Funniest Home Videos
Before and After,America's Game Of Thrones
TV Show Title,America's Got Talent
Phrase,America's Heartland
Place,America's Heartland
TV Show Title,America's Lost Treasures
TV Show Title,America's Next Top Model
Before and After,America's Next Top Model Train Set
Person,America's Sweetheart
Place,America's Top Colleges & Universities
Place,America's Top Colleges And Universities
Place,America's Wealthiest Cities
Proper Name,American Airlines
Landmark,American Airlines Arena In Miami
Landmark,American Airlines Center In Dallas
Living Thing,American Alligator
Living Thing,American Alligators
Living Thing,American Aspen Trees
People,American Automakers
Person,American Automakers
Proper Name,American Automobile Association
Living Thing,American Bald Eagle
TV Show Title,American Bandstand
Landmark,American Banjo Museum Hall Of Fame
Proper Name,American Bar Association
Classic Movie,American Beauty
Movie Title,American Beauty
The 90’s,American Beauty
Living Thing,American Bison
Living Thing,American Bison & Bald Eagles
Living Thing,American Bobtail
Living Thing,American Buffalo
Before and After,American Buffalo Wings
Slogan,American By Birth Rebel By Choice
Proper Name,American Canoe Association
Food and Drink,American Cheese
Event,American Civil War
Place,American Consulate
On the Map,American Cordillera
People,American Country-Music Stars
Living Thing,American Crocodile
Thing,American Cuisine
TV Show Title,American Dad
TV Show Title,American Dad!
Proper Name,American Dental Association
TV Show Title,American Digger
Phrase,American Dream
Place,American Embassy
Proper Name,American Express & Discover
Before and After,American Express Yourself
Proper Name,American Farmers Association
Proper Name,American Federation Of Labor
Proper Name,American Film Institute
Thing,American Flag
Landmark,American Folk Art Museum
Proper Name,American Football Conference
Living Thing,American Foxhound
Proper Name,American Frontiersman Daniel Boone
TV Show Title,American Gladiators
Living Thing,American Goldfinch
Movie Title,American Graffiti
Before and After,American Graffiti Artist
Proper Name,American Guitar Academy
Event,American History Class
Event,American History X
Movie Title,American History X
TV Show Title,American Horror Story
Person,American Humorist
Movie Title,American Hustle
TV Show Title,American Idol
Event,American Idol Audition
Proper Name,American Idol Host Ryan Seacrest
Proper Name,American Idol Judge Steven Tylor
People,American Idol Judges
Show Biz,American Idol Judges
Landmark,American Jazz Museum
Living Thing,American Kestrel
Song Title,American Land
Thing,American Literature
Living Thing,American Mink
Thing,American Mink
Thing,American Muscle Cars
Landmark,American Museum Of Natural History
Proper Name,American Music Awards
Title,American National Biography
TV Show Title,American Ninja Warrior
Title,American Notes For General Circulation
Living Thing,American Oyster Catcher
Living Thing,American Oystercatcher
Living Thing,American Oystercatchers
People,American Patriots
Song Title,American Pie
The 80’s,American Pie
The 90’s,American Pie
Song/Artist,American Pie By Don Mclean
Before and After,American Pie Plate
Before and After,American Pie Tin
Living Thing,American Pine Marten
Phrase,American Pride
Thing,American Pride
Proper Name,American Red Cross
Before and After,American Red Cross Your Heart
TV Show Title,American Restoration
Event,American Revolution
Event,American Revolutionary War
Event,American Road Trip
Living Thing,American Robin
Person,American Soldier
Thing,American Spirit
Movie Title,American Splendor
Proper Name,American Stock Exchange
Thing,American Success Story
People,American Tourists
Thing,American Traditions
Title,American Traditions
Living Thing,American White Pelican
Song Title,American Woman
Show Biz,American Zoetrope Studios
Event,American-History Class
Food and Drink,Americanos & Cappuccinos
Title,Americas Got Talent
TV Show Title,Americas Got Talent
Title,Americas Next Top Model
TV Show Title,Americas Next Top Model
Proper Name,Amerigo Vespucci
Rhyme Time,Amid A Takeover Bid
Title,Amid The Shadows By Michael C. Grumley
Thing,Amino Acid
Thing,Amino Acids
Place,Amish Community
Place,Amish Country
Movie Title,Amistad
On the Map,Amityville New York
Place,Amityville New York
Proper Name,Ammi Phillips
Living Thing,Amoeba
Phrase,Among The Most Livable Cities In The World
Fictional Character,Amos Decker
Living Thing,Amphibians
Place,Amphitheater
Place,Amphitheaters
Thing,Ample Bus Lanes
Thing,Amplified Music
Event,Amsterdam Light Festival
On the Map,Amsterdam Netherlands
Proper Name,Amtrak Coast Starlight
Place,Amusement Park
Before and After,Amusement Park Ranger
Fun and Games,Amusement Park Rides
Fun and Games,Amusement Rides
Thing,Amusement-Park Ride
Thing,Amusement-Park Rides
Thing,Amusing Anecdotes
Fun and Games,Amusing Joke
People,Amusing Performers
Thing,Amusing Tricks
Around the House,Amusing Yarn
Fun and Games,Amusing Yarn
Thing,Amusing Yarn
Landmark,Amway Center In Orlando
Proper Name,Amy Adams
Star and Role,Amy Adams As Amelia Earhart
Star and Role,Amy Adams As Giselle
Star and Role,Amy Adams As Margarete Keins
Star and Role,Amy Adams As Sister James
Star and Role,Amy Adams As Sydney Prosser
Show Biz,Amy Adams Stars In Sharp Objects
Proper Name,Amy Cheung
Fictional Character,Amy Farrah Fowler
Proper Name,Amy Gentry
Proper Name,Amy Grant
Before and After,Amy Grant Permission
Proper Name,Amy Macdonald
Fictional Character,Amy Poehler As Joy
Star and Role,Amy Poehler As Joy
Show Biz,Amy Poehler Stars In Sisters
Proper Name,Amy Schumer
Headline,Amy Schumer Stars In I Feel Pretty
Show Biz,Amy Schumer Stars In I Feel Pretty
Star and Role,Amy Schumer Stars In I Feel Pretty
Show Biz,Amy Schumer Stars In Trainwreck
Headline,Amy Winehouse Is Dead
Title,An Abundance Of Katherines
Thing,An Abundance Of Opportunities
Phrase,An Accident Waiting To Happen
Phrase,An Ace Up Your Sleeve
People,An Acquaintance Of Mine
Person,An Acquaintance Of Mine
Phrase,An Act Of Good Faith
Phrase,An Adventure For Everyone
Thing,An Aerial View Of The City
Movie Title,An Affair To Remember
Fun and Games,An Afternoon Hiking
Fun and Games,An Afternoon Of Hiking
Event,An Afternoon Of Ice Fishing
Event,An Afternoon Of Ice-Fishing
Event,An Afternoon Of Pottery Painting
Event,An Afternoon Of Pottery-Painting
Fun and Games,An Afternoon Of Quad Biking
Event,An Afternoon Of Sightseeing
Thing,An Afternoon Of Sightseeing
Event,An Afternoon Of Social Tennis
Around the House,An Air Conditioner Running Full Blast
Thing,An Amazing Book
Place,An Amazing Ski Destination
Event,An Amazing Spectacle
Thing,An Amazing View Of The Skyline
Phrase,An American Classic
Thing,An American Classic
Movie Title,An American In Paris
Phrase,An American Original
Thing,An American Staple
Movie Title,An American Tail
Classic Movie,An American Werewolf In London
Movie Title,An American Werewolf In London
Before and After,An American Werewolf In London Calling
Event,An Annual Family Vacation
Phrase,An Answer Is On Our Behalf
Phrase,An Arm & A Leg
Event,An Art Fair
Place,An Art Gallery In Soho
Food and Drink,An Assortment Of Colorful Hard Candy
Rhyme Time,An Attitude Of Gratitude
Rhyme Time,An Awesome Blossom
Rhyme Time,An Awesome Possum
Event,An Early Dinner
Phrase,An Easy Fix
Thing,An Enjoyable Day
Thing,An Envelope Without A Return Address
Event,An Evening At Home
Event,An Evening In Lockwood Manor
Event,An Evening Of Wine Tasting
Event,An Evening Spent In Front Of The Fireplace
Phrase,An Excellent Source Of Fiber
Event,An Exciting Nba Series
Phrase,An Exciting New App
Thing,An Exciting New App
Phrase,An Exciting Place To Get Married
Event,An Exciting Seven-Game Series
Event,An Exciting Vacation
Place,An Exclusive Spa
Food and Drink,An Expensive Dinner For Two
Phrase,An Hour Has Sixty Minutes
Rhyme Time,An Ice-Cream Theme
Thing,An Icon Of The Cityscape
Thing,An Incurable Case Of Wanderlust
Person,An Independent Woman
Event,An Ocean Cruise Off The Hawaiian Islands
Event,An Office Romance
Movie Title,An Officer And A Gentleman
The 80’s,An Officer And A Gentleman
Person,An Old Acquaintance
Song/Artist,An Old Fashioned Love Song By Three Dog Night
Thing,An Old Fashioned Love Story
Person,An Old Grump
Person,An Old Pro
Thing,An Old-Fashioned Love Story
Rhyme Time,An Oldie But A Goodie
Thing,An Ongoing Process
Quotation,An Ounce Of Prevention Is Worth A Pound Of Cure
Thing,An Undiscovered Jewel
On the Map,Anacapa Island
Living Thing,Anaconda
Thing,Anaconda
Living Thing,Anaconda Snake
Food and Drink,Anadama Bread
Thing,Anagram
Thing,Anagram Mountains
Proper Name,Anaheim Ducks
Thing,Anaheim Ducks
Fictional Character,Anakin Skywalker
Thing,Analog Cables
What Are You Doing,Analyzing Fingerprints
What Are You Doing,Analyzing Foreign Communication
What Are You Doing,Analyzing The Data
Fictional Character,Anastasia Steele & Christian Grey
Movie Title,Anatomy Of A Murder
People,Ancestors
Food and Drink,Ancho-Orange Pork Burritos
Thing,Anchor Tattoo
On the Map,Anchorage
On the Map,Anchorage Alaska
Phrase,Anchors Aweigh
Food and Drink,Anchovies & Olives
Food and Drink,Anchovies On Pizza
Food and Drink,Anchovy Fillet
Landmark,Ancient Agora Of Athens
Thing,Ancient Beauty
On the Map,Ancient Capital Of Egypt Memphis
Place,Ancient Castle With A Moat
Place,Ancient Churches
Place,Ancient Cities
Place,Ancient City
Thing,Ancient Civilizations
Thing,Ancient Code Of Honor
Place,Ancient Fossil Beds
Thing,Ancient Gold Ingots
Place,Ancient Greece
Person,Ancient Greek
Fictional Character,Ancient Greek Gods
Thing,Ancient Greek Philosophy
People,Ancient Greeks
Person,Ancient Greeks
Thing,Ancient History
Place,Ancient Incan Trails
Place,Ancient Mayan Ruins
People,Ancient Monks
Person,Ancient Monks
Thing,Ancient Monument
Event,Ancient Mummy Exhibition
Person,Ancient Mystic
Place,Ancient Observatory
Place,Ancient Pueblos
Place,Ancient Rainforest
Thing,Ancient Rock Carvings
People,Ancient Romans
Place,Ancient Ruins
Thing,Ancient Ruins
Before and After,Ancient Stone Temple Pilots
Landmark,Ancient Stone Temples
Thing,Ancient Stone Temples
Before and After,Ancient Times Square
Place,Ancient Towering Skyscrapers
Thing,Ancient Volcanoes
Thing,Ancient-Greek Philosophy
People,Ancient-History Buffs
Quotation,And A Merry Old Soul Was He
Song Lyrics,And A Partridge In A Pear Tree
Song Lyrics,And Folks Dressed Up Like Eskimos
Phrase,And Here's The Best Part
Song Lyrics,And I Know My Heart Will Go On
Song/Artist,And I Know That My Heart Will Go On
Song Lyrics,And I Know That My Heart Will Go On
Song/Artist,And I Love Her By The Beatles
Song Lyrics,And I Said What About Breakfast At Tiffany's
Song Lyrics,And I Won't Quit Till I'M A Star On Broadway
Quotation,And I'll Blow You're House Down!
Quotation,And I'll Blow Your House Down
Song Lyrics,And I'M Crazy For Loving You
Song Lyrics,And I'M Headed To The Arcade
Song Lyrics,And I'M Proud To Be An American
Quotation,And Jill Came Tumbling After
Movie Title,And Justice For All
Song Lyrics,And May All Your Christmases Be White
Phrase,And May All Your Dreams Come True
Phrase,And Now For Our Feature Presentation
Phrase,And The Award Goes To
Show Biz,And The Award Goes To
Quotation,And The Dish Ran Away With The Spoon
Song Lyrics,And The Land We Belong To Is Grand!
Phrase,And The List Goes On
Phrase,And The List Goes On And On
Phrase,And The Winner Is
Phrase,And Then Some
TV Show Title,And Then There Were None
Phrase,And They Lived Happily Ever After
Quotation,And They Lived Happily Ever After
Song Lyrics,And They Never Give You Credit
Phrase,And They're Off!
Quotation,And To The Republic For Which It Stands
Song Lyrics,And When We Get Behind Closed Doors
Song Lyrics,And You're Still The Same
Living Thing,Andean Fox
Event,Andean Fox Sighting
Place,Andean Highlands
Living Thing,Andean Mountain Cats
Food and Drink,Andean Root Vegetables
On the Map,Anderlecht
Fun and Games,Anderlecht Fair
On the Map,Andes Mountains
Food and Drink,Andouille Sausage
Proper Name,Andre Ethier
Proper Name,Andrea Bocelli
Same Name,Andrew & Don't Press Your Luck
Proper Name,Andrew Dice Clay
Before and After,Andrew Dice Clay Aiken
Proper Name,Andrew Jackson
Before and After,Andrew Jackson Hole Wyoming
Proper Name,Andrew Johnson
Proper Name,Andrew Lloyd Webber
Proper Name,Andrew Newell Wyeth
Proper Name,Andrew Santino
Proper Name,Andria Williams
Phrase,Androids & Iphones
Thing,Androids & Iphones
Fictional Character,Andromeda
Proper Name,Andromeda Galaxy
Fictional Character,Andy Capp
Proper Name,Andy Garcia
Proper Name,Andy Kaufman
Proper Name,Andy Murray
Classic TV,Andy Opie Barney And Aunt Bee
Proper Name,Andy Roddick
Fictional Character,Andy Sachs
Proper Name,Andy Samberg
Landmark,Andy Warhol Museum Of Modern Art
On the Map,Angel Falls In South America
Living Thing,Angel Fish
Food and Drink,Angel Food Cake
In the Kitchen,Angel Food Cake Mix
Food and Drink,Angel Food Cake With Lime Frosting
Thing,Angel Of The Citadel
Title,Angel Of The Citadel
Thing,Angel On Top Of A Christmas Tree
Living Thing,Angel Sharks
Thing,Angel's Wings
Proper Name,Angela Basset
Proper Name,Angela Bassett
Fictional Character,Angela Bennett
Proper Name,Angela Brazil
Fictional Character,Angela Chase
Proper Name,Angela Lansbury
Living Thing,Angelfish
Movie Title,Angelfish
Star and Role,Angelia Jolie As Evelyn Salt
Fictional Character,Angelica Pickles
Proper Name,Angelina Jolie
Star and Role,Angelina Jolie As Jane Smith
Star and Role,Angelina Jolie As Lara Croft
Star and Role,Angelina Jolie As Maleficent
Star and Role,Angelina Jolie As Malicifent
Movie Title,Angels & Demons
Movie Title,Angels And Demons
Title,Angels Fall
Movie Title,Angels In The Outfield
Star and Role,Angie Harmon Stars In Rizzoli & Isles
Around the House,Angle Broom With Dustpan
Thing,Angle Grinder
Living Thing,Anglerfish
Living Thing,Angolatitan
Living Thing,Angora Cat
Around the House,Angora Sweater
Fun and Games,Angry Birds
Fun and Games,Angry Birds Epic
Before and After,Angry Birds Of A Feather
Title,Angry Birds: Knock On Wood Game
TV Show Title,Angry Birds: Knock On Wood Game
Title,Angry Birds:Knock On Wood Game
People,Angry Crowd
Living Thing,Angwantibo
Thing,Animal Behavior
Song/Artist,Animal By Def Leppard
Occupation,Animal Curator
Place,Animal Farm
Thing,Animal Farm
Title,Animal Farm
Living Thing,Animal Groups
Rock On,Animal I Have Become By Three Days Grace
Thing,Animal Instinct
Living Thing,Animal Kingdom
Phrase,Animal Kingdom
Proper Name,Animal Kingdom
People,Animal Lovers
Thing,Animal Magnetism
Thing,Animal Muzzle
Proper Name,Animal Planet
Proper Name,Animal Plant
Place,Animal Rescue
People,Animal Right Activists
Person,Animal Rights Activist
People,Animal Rights Activists
Place,Animal Sanctuary
Thing,Animal Tracks In The Snow
Occupation,Animal Trainer
Event,Animal- Adoption Fair
Event,Animal-Adoption Fair
Person,Animal-Rights Activist
Around the House,Animal-Shaped Lamps
TV Show Title,Animals Gone Wild
TV Show Title,Animaniacs
Thing,Animated Emojis
Thing,Animated Fairy Tales
Show Biz,Animated Movie
Show Biz,Animated Movies
Show Biz,Animated Series
Show Biz,Animation & Special Effects
Place,Animation Studio
Proper Name,Animator Craig Bartlett
Proper Name,Animator Trey Parker
TV Show Title,Animorphs
Food and Drink,Anise Cookies
Food and Drink,Anisette Cookies
Proper Name,Anita Hill
Proper Name,Anjelica Huston
Thing,Ankle Boot
Thing,Ankle Booties
Thing,Ankle Bracelet
Thing,Ankle Socks
Thing,Ankle Wrap- Flats
Thing,Ankle-Length Pants
Thing,Ankle-Wrap Flats
Thing,Ankles & Knees
Thing,Ankles And Knees
Same Name,Ann & Chicken Curry
On the Map,Ann Arbor Michigan
